Cordylodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fryxellodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proconodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansellidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belodellidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,
Acanthodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clavohamulidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornuodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,F1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dapsilodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,?F,F2,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,
Drepanoistodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,F1,1,1,1,1,L2,?,?,?,?,?L,,,,,,,,,,,,,,,,,,,,,,,,,,
Oneotodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protopanderodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,?F,F2,1,1,1,1,L2,?L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strachanognathidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,F1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panderodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,?F,F2,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,
Balognathidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,F1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
