Arandaspidae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,
Eriptychiidae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,
Porophoraspidae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,
Aseraspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Lepidaspidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Tesseraspidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,
Tolypelepididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,
Cyathaspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,
Irregulareaspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,
Poraspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,
Ctenaspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,
Torpedaspidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Corvaspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,
Penygaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Anchipteraspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,
Pteraspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,L1,,,,,,,,
Doryaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Traquairaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,
Phialaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,
Weigeltaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,
Natlaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Drepanaspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,
Guerichosteidae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,
Pycnosteidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,
Psammolepididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,
Psammosteidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Obrucheviidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Cardipeltidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Amphiaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,
Siberiaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Olbiaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Angaraspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
