Stensioellidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Paraplesiobatidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Ptyctodontidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,L1
Asterosteidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,L1,,
Palaeacanthaspididae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,
Radotinidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,
Kolymaspididae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,
Weejasperaspidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,
Brindabellaspidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,
Macropetalichthyidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,L1,,
Quasipetalichthyidae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,
Phyllolepidae,Animalia,Chordata,Placodermi,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,
Asterolepididae,Animalia,Chordata,Placodermi,MF,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,
Bothriolepididae,Animalia,Chordata,Placodermi,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,
Microbrachiidae,Animalia,Chordata,Placodermi,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,
Pterichthyodidae,Animalia,Chordata,Placodermi,MF,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,,
Qujinolepididae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,
Sinolepididae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,
Yunnanolepididae,Animalia,Chordata,Placodermi,M,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,
Wuttagoonaspidae,Animalia,Chordata,Placodermi,F,,,,,,,,,,,,,,,,,,,,,,,,,,F1,,,,
Actinolepididae,Animalia,Chordata,Placodermi,MF,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,L1,,,
Arctaspididae,Animalia,Chordata,Placodermi,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Arctolepididae,Animalia,Chordata,Placodermi,F,,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,
Phlyctaeniidae,Animalia,Chordata,Placodermi,MF,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,L1,,
